Round,ScoringLogic,SelectionHeuristic,Efficiency,Rationale
291,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.1*np.tanh((pt-300)/100)) * (1 - 0.2*np.abs(eta)/5) * np.exp(-0.5*(r_ab/0.4)**2) * np.exp(-0.5*(dr_ab/0.6)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4513,"The scoring combines the XGBoost discriminator with physics‑motivated Gaussian weightings around the known top mass (173 GeV), transverse momentum, pseudorapidity, and the pairwise jet shape variables r_ab and dr_ab. This yields a single 'final_score' that rewards candidates close to the expected kinematics while penalising outliers. The greedy selector then picks the highest‑scoring candidates while ensuring jet sets do not overlap, guaranteeing a physically consistent set of reconstructed tops."
292,"import numpy as np
# Input arrays: m123, pt, eta, score_xgb, r_ab, dr_ab (all 1-D numpy arrays, same length)
# Mass Gaussian: central value 173 GeV, width ~20 GeV
def mass_gauss(m):
    return np.exp(-0.5*((m-173)/20)**2)
# pt Gaussian: peak around 400 GeV, width ~150 GeV
def pt_gauss(p):
    return np.exp(-0.5*((p-400)/150)**2)
# Eta penalty: prefers central jets
def eta_penalty(e):
    return np.exp(-np.abs(e)/2)
# Angular distance penalties for the two-jet pair (r_ab) and ΔR (dr_ab)
def angle_factor(r, dr):
    return np.exp(-r/0.5) * np.exp(-dr/0.5)
# Final combined score for each candidate
final_scores = score_xgb * mass_gauss(m123) * pt_gauss(pt) * eta_penalty(eta) * angle_factor(r_ab, dr_ab)","def select(candidates):
    """"""Greedy non-overlapping selector.
    Candidates are sorted by their 'score' (the combined score from `final_scores`).
    The first candidate that does not share any jet index with already chosen ones
    is kept. The procedure yields a maximal set of high-score, disjoint top
    candidates.
    """"""
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.0000,"The scoring logic fuses the machine-learning output (score_xgb) with physics-driven shape information. A Gaussian term around the known top mass (173 GeV) rewards candidates with a correct invariant mass, while a similar Gaussian on the candidate transverse momentum prefers the typical top-quark p_T spectrum. An exponential penalty on absolute pseudorapidity discourages forward jets that are less reliably reconstructed. Small angular separations (r_ab, dr_ab) between the two leading sub-jets are characteristic of a boosted hadronic top, so they are encoded as exponential suppression factors. Multiplying all factors yields a single scalar final_scores that ranks candidates by both ML confidence and kinematic compatibility.

The selection heuristic is a simple greedy algorithm that maximizes the total score while enforcing jet-level exclusivity. It is fast (O(N log N)) and works well when the number of candidates per event is modest, as is typical after pruning low-score entries. By sorting on the combined score, the most promising top candidates are locked in first, reducing the chance that a lower-score candidate blocks a better one later. This approach is widely used in experimental top tagging pipelines and provides a deterministic, reproducible selection."
293,final_scores = (score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + pt/2000) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-1)/0.2)**2) * np.exp(-0.5*((dr_ab-0.8)/0.3)**2)),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5078,"The scoring formula combines the XGBoost classifier output with physics‑motivated Gaussian penalties: the invariant‑mass term peaks at the top‑quark mass (173 GeV) with a 20 GeV width; the pt term rewards energetic candidates; the eta term prefers central jets; the r_ab term enforces a distance‑ratio close to unity; and the dr_ab term favours the typical angular separation of top‑decay jets (~0.8). Multiplying these factors yields a single dimensionless score that ranks candidates by both machine‑learning confidence and kinematic consistency. The greedy selector then picks the highest‑scoring, non‑overlapping triplets, ensuring each jet is used at most once while maximizing the total score."
294,"import numpy as np
# Combine the XGBoost classifier score with physics‑motivated weights.
#   • Mass term: Gaussian centred at the top‑quark mass (173 GeV) with σ≈20 GeV.
#   • pT term: Linear scaling favouring energetic candidates (normalised to 500 GeV).
#   • η term: Exponential suppression for forward jets.
#   • r_ab term: Penalises large separation between the two leading sub‑jets.
#   • dr_ab term: Gaussian penalty on the angular distance between sub‑jets.
final_scores = (
    score_xgb
    * np.exp(-0.5 * ((m123 - 173) / 20) ** 2)                # mass weight
    * (pt / 500.0)                                           # pT weight
    * np.exp(-np.abs(eta) / 2.5)                             # η weight
    * np.exp(-r_ab)                                          # r_ab weight
    * np.exp(-0.5 * (dr_ab / 0.5) ** 2)                      # dr_ab weight
)","def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4698,"The scoring formula builds a single figure‑of‑merit per jet triplet by multiplying the machine‑learning discriminator (score_xgb) with analytically motivated weights that encode our knowledge of top‑quark kinematics. A Gaussian around the known top mass sharpens the resonant peak, while a pT scaling prefers high‑energy candidates. Central jets are favoured via an η suppression, and large separations between sub‑jets (r_ab, dr_ab) are penalised because a genuine hadronic top tends to produce relatively collimated decay products. The resulting final_scores can be directly compared across all triplets. The greedy selection heuristic then iteratively picks the highest‑scoring candidate that does not share jets with already‑chosen ones, guaranteeing a non‑overlapping set while maximising the total score – a pragmatic and fast strategy commonly used in combinatorial top reconstruction."
295,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(pt/500)**2) * (1 - np.abs(eta)/5) * np.exp(-0.5*((r_ab-0.4)/0.1)**2) * np.exp(-0.5*((dr_ab-0.8)/0.3)**2),"def select(candidates):\n    chosen = []\n    used = set()\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The final_scores combine the raw XGBoost discriminant (score_xgb) with physics‑motivated weighting factors that suppress candidates deviating from the expected top‑quark kinematics. A Gaussian term centered at the world‑average top mass (173 GeV) with a 20 GeV width favours correctly reconstructed invariant masses (m123). Additional Gaussians penalise unusually high transverse momentum (pt) and enforce typical jet‑pair angular separations: r_ab≈0.4 and dr_ab≈0.8. A linear η‑penalty (1‑|η|/5) down‑weights forward candidates where detector resolution is poorer. Multiplying these factors yields a scalar final_scores array that can be used for ranking. The greedy selector then picks the highest‑scoring, non‑overlapping triplets, guaranteeing each jet contributes to at most one top candidate while maximising the summed score."
296,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/400) * np.exp(-np.abs(eta)/2) * (1 - np.exp(-r_ab/0.3)) * np.exp(-dr_ab/0.6),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5136,"The score combines the XGBoost classifier output with physically motivated modifiers. A Gaussian term centered at the top-quark mass (173 GeV) penalises candidates far from the expected invariant mass, while a linear pt scaling favours energetic tops. Central jets (|η| ≲ 2) receive a larger weight via an exponential η‑penalty, reflecting the better detector performance. The term (1‑exp(‑r_ab/0.3)) rewards a sufficiently large separation between the b‑jet and the W‑jet system, and exp(‑dr_ab/0.6) suppresses candidates with excessive angular spread, improving background rejection. The greedy selector enforces a non‑overlapping set of top candidates by iteratively picking the highest‑scoring triplet and discarding any that share jets, which is fast and aligns with typical analysis requirements for hadronic top reconstruction."
297,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/500)**0.3 * np.exp(-np.abs(eta)/3) * np.exp(-0.5*(r_ab/0.4)**2) * np.exp(-0.5*(dr_ab/0.1)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3528,"The scoring blends the machine‑learning discriminator (score_xgb) with physics‑driven weights. A Gaussian term centered at the top‑quark mass (173 GeV) rewards candidates whose invariant mass m123 is close to the true value. The pt term (pt/500)**0.3 favours energetic systems, while exp(-|eta|/3) down‑weights forward jets that are less reliably measured. Small sub‑jet separations are encouraged through Gaussian penalties on r_ab and dr_ab, reflecting the expected collimation of hadronic top decay products. Multiplying all factors yields a fully vectorised final_scores array suitable for downstream ranking. The greedy selector then iterates over candidates sorted by this composite score, adding a candidate only if none of its constituent jets have already been assigned, thus guaranteeing a set of non‑overlapping, high‑quality top reconstructions."
298,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(pt/250)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-1)/0.2)**2) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4396,"The scoring formula combines the XGBoost classifier output (score_xgb) with physics‑motivated Gaussian weightings for the kinematic and substructure observables that characterize a true hadronic top decay. 
- m123: the three‑jet invariant mass is centred on the world‑average top mass (173 GeV) with a width of ~20 GeV to reward candidates close to the expected mass. 
- pt: a moderate transverse momentum (≈250 GeV) is typical for boosted tops; larger pt values are down‑weighted to suppress poorly reconstructed jets. 
- eta: central jets (|η|≲2.5) have the best detector response; the Gaussian penalises forward objects. 
- r_ab: the ratio of the two dijet masses within the triplet should be near unity for a symmetric top decay; deviations are penalised with σ≈0.2. 
- dr_ab: the angular separation ΔR between the two sub‑jets that form the W boson candidate peaks around 0.4 for resolved topologies; the Gaussian enforces this preferred separation. 
Multiplying these factors preserves the relative ranking from the machine‑learning score while embedding domain knowledge, yielding a single numpy array `final_scores`.

For candidate selection we employ a greedy maximal‑weight independent set algorithm. By sorting candidates in descending order of their final score and iteratively adding the highest‑scoring candidate that does not share any jet with previously selected ones, we obtain a fast, deterministic set of non‑overlapping top candidates. This heuristic is well suited for large event samples where an exact combinatorial optimisation would be prohibitive, yet it retains near‑optimal performance because the scoring already concentrates signal‑like configurations at the top of the list."
299,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/500) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.4)/0.2)**2) * np.exp(-0.5*((dr_ab-0.5)/0.2)**2),"def select(candidates):
    """"""Greedy selection of non-overlapping top candidates.
    Candidates are dicts that contain at least the keys:
        - 'jets': a set of jet indices belonging to the candidate
        - 'score': the final_score for the candidate
    The function returns a list of chosen candidates ordered by descending score.
    """"""
    chosen = []
    used = set()
    for cand in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (cand['jets'] & used):
            chosen.append(cand)
            used.update(cand['jets'])
    return chosen",0.4045,"The score combines a high-level classifier output (score_xgb) with physics-motivated weighting terms. A Gaussian centered at the nominal top mass (173 GeV) rewards candidates near the true mass. The transverse momentum term (pt/500) preferentially upweights energetic systems, while an eta Gaussian penalises forward jets where detector resolution degrades. Pairwise angular variables r_ab and dr_ab are centered on typical values for genuine three‑jet top decays (r≈0.4, ΔR≈0.5) and fall off for abnormal configurations. Multiplying all factors yields a single scalar that encapsulates both multivariate discrimination and domain knowledge. The greedy selector then picks the highest‑scoring, non-overlapping candidates, which is fast, deterministic, and works well when the final scores are well‑calibrated – a common choice in hadronic top reconstruction pipelines."
300,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*((pt-200)/150)**2) * (1 / (1 + np.abs(eta))) * np.exp(-0.5*((r_ab-0.4)/0.2)**2) * np.exp(-dr_ab/0.5),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4600,"The final score multiplies the XGBoost classifier output by Gaussian weightings that enforce agreement with the known top-quark mass (173 GeV) and typical transverse momentum, down‑weights high rapidity jets, and rewards candidates with a dijet mass ratio r_ab close to the expected W‑boson value and small angular separation dr_ab. This physics‑driven formulation improves discrimination while preserving the powerful machine‑learning score. The greedy selection implements a maximum‑weight independent set, guaranteeing that the chosen candidates are non‑overlapping (no jet is used more than once) while preferring the highest‑scoring tops."
301,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1/(1+np.exp(-pt/200))) * np.cos(eta) * np.exp(-r_ab**2) * np.exp(-dr_ab**2/0.5),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3840,"The scoring combines an XGBoost classifier output with physics‑motivated weightings: a Gaussian term centered on the nominal top mass (173 GeV) penalises candidates far from the mass peak; a sigmoid in pT favours energetic tops while remaining bounded; cosine of eta down‑weights forward objects where detector resolution is poorer; exponential terms in r_ab and dr_ab suppress candidates with unusually large sub‑jet separations, reflecting the typical collimation of hadronic top decays. Multiplying all factors yields a single scalar 'final_score' that can be sorted. The selection heuristic is a greedy algorithm that iterates over candidates sorted by this final_score, picking the highest‑scoring candidate that does not share any jet indices with already selected ones. This guarantees a set of mutually exclusive top candidates while prioritising the most signal‑like objects, which is computationally cheap and robust for large event samples."
302,"import numpy as np
# Arrays: m123, pt, eta, score_xgb, r_ab, dr_ab
# Gaussian mass term around the top-quark pole mass (173 GeV) with σ≈20 GeV
mass_term = np.exp(-0.5 * ((m123 - 173) / 20) ** 2)
# Linear pt scaling (higher‑pt tops are better measured); normalised to 500 GeV
pt_term = pt / 500.
# Central η preference (detector is most performant near η≈0); width ≈2.5
eta_term = np.exp(-0.5 * (eta / 2.5) ** 2)
# Penalty for large angular separation between jets a and b
rab_term = 1.0 / (1.0 + r_ab)
# Gaussian ΔR term to suppress widely separated a‑b pairs; width ≈0.4
dr_term = np.exp(-0.5 * (dr_ab / 0.4) ** 2)
# Combine with the XGBoost discriminant
final_scores = score_xgb * mass_term * pt_term * eta_term * rab_term * dr_term","def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4405,"The scoring function builds a single, physics‑motivated discriminator from the raw XGBoost output (score_xgb) and six handcrafted features. A Gaussian term centred on the known top‑quark mass (173 GeV) rewards candidates with an invariant mass m123 close to the true value. Additional multiplicative factors encode well‑established selection criteria: a linear pt term favours higher‑pT tops (more robust reconstruction), a central‑η Gaussian prefers jets in the well‑instrumented region of the detector, an inverse‑r_ab term penalises large angular separations between the a‑b jet pair, and a Gaussian ΔR term suppresses candidates with a large ΔR_{ab}. By multiplying these terms, the final_score preserves the ranking provided by the machine‑learning model while embedding domain knowledge that improves discrimination of correctly reconstructed hadronic tops. The greedy selection heuristic scans candidates in order of decreasing final_score and keeps a candidate only if none of its constituent jets have already been assigned to a previously selected top. This simple yet effective strategy yields a set of non‑overlapping top candidates that maximises the total score under the jet‑usage constraint."
303,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.05*pt/1000) * np.exp(-0.5*eta**2) * np.exp(-0.5*((r_ab-1)/0.3)**2) * np.exp(-0.2*dr_ab),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4805,"The final_score combines the raw XGBoost output (score_xgb) with several physically motivated weights: a Gaussian term centred at the top-quark mass (173 GeV) favours candidates with m123 close to the true mass; a mild pt scaling (1+0.05*pt/1000) rewards energetic tops; an eta Gaussian suppresses forward candidates; a Gaussian in (r_ab‑1) with width 0.3 encourages balanced jet pair kinematics; and an exponential decay in dr_ab penalises widely separated jets. Multiplying these factors yields a single scalar that reflects both machine‑learning discrimination and known top‑decay features. The greedy selection algorithm then iterates over candidates sorted by this composite score, picking the highest‑scoring candidate that does not share any jet with already selected tops, guaranteeing a non‑overlapping set of reconstructed hadronic tops."
304,final_scores = score_xgb * np.exp(-0.5*((m123 - 173)/20)**2) * (1 / (1 + np.exp(-(pt - 200) / 100))) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab - 0.4)/0.3)**2) * np.exp(-0.5*((dr_ab - 0.4)/0.4)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4649,"The scoring logic combines the XGBoost output with physics‑motivated Gaussian and sigmoid weighting factors for the most discriminating kinematic observables of a hadronic top candidate. A Gaussian term centered at the top‑quark mass (173 GeV) with a 20 GeV width rewards candidates whose three‑jet invariant mass m123 is close to the expected value. A sigmoid turn‑on in transverse momentum (pt) preferentially up‑weights energetic tops while remaining smooth. A Gaussian in pseudorapidity (eta) penalises very forward jets that are less reliably reconstructed. Additional Gaussian terms for the jet‑pair radius (r_ab) and angular separation (dr_ab) encourage the three jets to be clustered with a typical size expected from a boosted top decay. By multiplying these factors with the machine‑learning score we retain the powerful discrimination of the XGBoost model while imprinting known top‑quark kinematic features, improving robustness against background fluctuations. The greedy selection heuristic then iterates over candidates in descending score order, selecting only those whose jet sets do not overlap with already chosen candidates, guaranteeing a unique assignment of each jet to at most one top candidate—a crucial requirement for downstream analyses such as event categorisation or mass reconstruction."
305,final_scores = score_xgb * (1/(1+np.exp(-(pt-300)/50))) * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.5)/0.15)**2) * np.exp(-0.5*((dr_ab-0.8)/0.4)**2),"def select(candidates):
    chosen = []
    used = set()
    # Sort candidates by descending final score
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4756,"The scoring combines the machine‑learning discriminant (score_xgb) with physics‑driven likelihood terms. A Gaussian centred at the top mass (173 GeV) penalises candidates far from the expected invariant mass, while a rapidity Gaussian suppresses forward jets that are less reliably reconstructed. The logistic pt term (1/(1+exp(-(pt‑300)/50))) smoothly up‑weights high‑pT tops, reflecting their cleaner signatures. Ratios r_ab and angular separations dr_ab are modelled by Gaussians around their expected values (≈0.5 and ≈0.8) to capture the characteristic decay kinematics of a hadronic top. Multiplying these factors yields a single figure of merit that respects both data‑driven learning and known physics constraints. The greedy selector ensures that the highest‑scoring, non‑overlapping triplets are kept, preventing double‑counting of jets while preserving the optimum global set of top candidates."
306,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1+0.1*np.tanh(pt/500)) * np.exp(-0.5*(eta/2.5)**2) * (1/(1+((r_ab-0.4)/0.15)**2)) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3830,"The final_score combines the XGBoost classifier output (score_xgb) with a set of physics‑motivated weight factors that shape the ordering of top‑quark candidates without discarding any information.\n\n* **Mass term** – np.exp(-0.5*((m123-173)/20)**2) is a Gaussian centred on the world‑average top mass (173 GeV) with a width of ≈20 GeV, reflecting detector resolution and encouraging candidates whose three‑jet invariant mass is close to the true top mass.\n* **pT term** – (1+0.1*np.tanh(pt/500)) provides a gentle, saturating increase for high‑pT systems, rewarding energetic tops while avoiding excessive dominance of very large pT outliers.\n* **η term** – np.exp(-0.5*(eta/2.5)**2) penalises candidates that are far forward (|η|≫2.5), where jet reconstruction is less reliable.\n* **r_ab term** – 1/(1+((r_ab-0.4)/0.15)**2) is a Lorentzian‑like shape that peaks around the typical angular separation of the two jets from the W‑boson decay (r≈0.4) and falls off symmetrically, ensuring reasonable jet‑pair geometry.\n* **ΔR_ab term** – np.exp(-0.5*((dr_ab-0.4)/0.2)**2) is a Gaussian centred on the expected ΔR between the b‑jet and the W‑system, further enforcing the characteristic topology of a hadronic top decay.\n\nMultiplying all factors preserves the original ranking from the machine‑learning score while injecting domain knowledge that improves robustness against detector effects and combinatorial background.\n\nThe greedy selector iterates over candidates sorted by the combined score, picking the highest‑scoring candidate that does not share any jet with already‑chosen candidates. This simple heuristic guarantees a set of non‑overlapping top candidates and is fast enough for both offline analyses and online trigger‑like environments."
307,final_scores = score_xgb * np.exp(-0.5 * ((m123 - 173) / 20) ** 2) * np.exp(-0.5 * (pt / 600) ** 2) * np.exp(-np.abs(eta) / 2.5) * (1 - 0.3 * np.abs(r_ab - 0.5)) * np.exp(-dr_ab ** 2 / 0.05),"def select(candidates):
    chosen = []
    used = set()
    # Sort by the (already computed) final score descending
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        # c['jets'] must be a set of jet indices for fast overlap checks
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3704,"The scoring formula layers physics‑driven weights on top of the machine‑learning output (score_xgb). A Gaussian term around the known top‑quark mass (m123≈173 GeV) preferentially keeps candidates near the expected invariant mass. An additional Gaussian on the transverse momentum (pt) down‑weights very low‑pt triplets while still allowing high‑pt tops to dominate. The exponential in |eta| rewards central jets where detector resolution is best. The term (1 - 0.3·|r_ab - 0.5|) encodes the expectation that the two lighter jets (a and b) share energy roughly equally in a genuine hadronic top decay (r_ab≈0.5). Finally, exp(-dr_ab²/0.05) penalises candidates with a large angular separation between the a–b pair, reflecting the collimation of decay products at high boost. This multi‑factor score preserves the discriminating power of the XGBoost classifier while imprinting well‑established kinematic features of hadronic top decays. The greedy selection heuristic repeatedly picks the highest‑scoring candidate that does not share any jet with previously selected candidates, guaranteeing a non‑overlapping set of top reconstructions. This approach is deterministic, fast (O(N log N) sorting + O(N) selection), and has proven robust in dense jet environments typical of LHC high‑energy collisions."
308,final_scores = score_xgb * np.exp(-0.5 * ((m123 - 173) / 20)**2) * (1 + 0.2 * np.tanh(pt / 250)) * np.exp(-np.abs(eta) / 2.5) * np.exp(-0.5 * ((r_ab - 1.0) / 0.3)**2) * np.exp(-dr_ab / 0.5),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5643,"The scoring combines the machine‑learning discriminator (score_xgb) with physics‑motivated penalty terms that shape the distribution toward genuine hadronic top decays. A Gaussian centered at the world‑average top mass (173 GeV) with a 20 GeV width rewards candidates with the correct invariant mass. The transverse‑momentum term (1+0.2*tanh(pt/250)) mildly enhances high‑pT triplets while saturating to avoid runaway scaling. Central jets are preferred through an eta‑suppression factor exp(-|eta|/2.5). The dijet mass ratio r_ab (expected ≈1 for a W‑boson decay) is enforced with a narrow Gaussian (σ≈0.3). Finally, widely separated jets are penalised by exp(-dr_ab/0.5), encouraging compact jet configurations typical of top quark decays. Multiplying all factors yields a single scalar – larger values indicate candidates that satisfy both kinematic expectations and the ML score.

The greedy selection algorithm picks the highest‑scoring candidates while ensuring no jet participates in more than one top hypothesis. By sorting on the combined score and checking set overlap, the routine provides a fast, deterministic assignment that maximises the total score, which is crucial for large event samples and high‑pile‑up conditions."
309,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.1*pt/1000) * (1 - 0.05*np.abs(eta)/2.5) * (1 + 0.2*r_ab) * np.exp(-dr_ab),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5361,"The scoring formula is built to capture the most discriminating physical features of a hadronic top candidate while preserving the raw power of the XGBoost classifier (score_xgb). A Gaussian term centered on the PDG top mass (173 GeV) with a width of ~20 GeV rewards candidates whose invariant mass m123 is close to the true top mass. The transverse momentum (pt) term (1+0.1*pt/1000) modestly up‑weights high‑pt tops, which are reconstructed more reliably in a boosted regime. The pseudorapidity term (1-0.05*|eta|/2.5) down‑weights candidates containing forward jets where detector resolution degrades. The sub‑structure ratio r_ab, typically the mass ratio of two sub‑jets, is linearly enhanced (1+0.2*r_ab) to favour the expected two‑body decay pattern of the top. Finally the angular separation dr_ab is penalised with exp(-dr_ab) because overly wide separations are characteristic of combinatorial background. Multiplying all factors preserves the ordering induced by the XGBoost probability while applying physically motivated shape corrections, yielding a final_scores numpy array that can be sorted directly.

For candidate selection we must enforce that each reconstructed jet participates in at most one top hypothesis. A greedy algorithm that iterates over candidates sorted by their final score, accepts a candidate only if none of its constituent jets have been used, and then marks those jets as used, provides an efficient O(N log N) solution. This heuristic maximises the summed score of the chosen set under the non‑overlap constraint and has been shown to perform well in dense jet environments typical of LHC top analyses. It also keeps the implementation simple and deterministic, which is valuable for reproducibility and downstream systematic studies."
310,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-pt/1500) * np.exp(-np.abs(eta)/2.5) * np.exp(-dr_ab) / (1 + r_ab),"def select(candidates):
    chosen = []
    used = set()
    # Sort candidates by descending composite score
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        # c['jets'] must be a set of jet indices
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5185,"The scoring function builds on the XGBoost classifier output (score_xgb) and layers in physics‑motivated weights that reflect the expected kinematics of a hadronic top decay. 

- A Gaussian term \(\exp[-0.5*((m123-173)/20)^2]\) strongly rewards candidates whose three‑jet invariant mass (m123) lies within a ~±40 GeV window around the nominal top mass, suppressing random combinatorial backgrounds. 
- An exponential damping \(\exp(-pt/1500)\) modestly penalises very soft triplets, while \(\exp(-|eta|/2.5)\) prefers centrally produced tops where detector acceptance and resolution are optimal. 
- The separation between the two leading jets, dr_ab, is encoded with \(\exp(-dr_ab)\); tighter jet pairs are characteristic of the boosted top topology. 
- The mass‑ratio variable r_ab (often defined as \(m_{ab}/m_{abc}\)) is handled with a denominator \((1+r_ab)\) so that large asymmetric pairings reduce the score. 
- Multiplying by the raw XGBoost probability preserves the powerful multivariate discrimination learned from simulation.

Together these terms produce a single scalar (final_scores) that ranks candidates both by machine‑learning confidence and by how well they satisfy the known top‑quark decay geometry.

The greedy selection heuristic iterates over candidates sorted by this composite score and picks the highest‑scoring non‑overlapping set. By maintaining a set of already‑used jet indices, we guarantee that each jet participates in at most one top candidate, preventing double‑counting and ensuring a physically sensible reconstruction. While not guaranteed to find the absolute global optimum (e.g., compared to a full combinatorial or integer‑programming approach), the greedy algorithm is deterministic, fast (O(N log N) for sorting plus O(N) selection), and works well when the per‑candidate score reliably separates true tops from background combinatorics."
311,final_scores = (score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.tanh(pt/250) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2) * np.exp(-0.5*((r_ab-1)/0.3)**2)),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4327,"We combine the XGBoost classification score with physics‑motivated Gaussian weightings that favour a three‑jet invariant mass near the known top‑quark mass (173 GeV), high transverse momentum, central rapidity, and jet‑pair geometries typical of a hadronic top decay. The tanh(pt/250) term provides a saturating boost factor, while the eta term suppresses forward jets. Gaussian terms on dr_ab (optimal ΔR ≈ 0.4) and r_ab (ratio ≈ 1) penalise atypical jet separations. The greedy non‑overlapping selector picks the highest‑scoring candidates first, guaranteeing each jet participates in at most one top candidate."
