Round,ActionClass,Setup,Metric,DeltaMetric,Rationale,Insight
91039,Incremental Tuning,inc_tune_20260422_001,0.0088,-0.6257,"The champion’s efficiency is moderate (0.6345). Applying a small, smooth scaling to the score is likely to yield incremental gains without risking instability, so incremental tuning is appropriate.","In many physical processes, the response scales logarithmically with an underlying parameter, while saturation effects follow a tanh curve. Using a tanh of the negative log provides a gentle, bounded boost analogous to adding a modest excitation to a damped system."
91040,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,The current efficiency (~0.63) indicates the model is already functional but leaves room for modest gains; incremental tuning can refine existing parameters without disrupting stability.,"A small increase in the effective coupling aligns the system's resonant condition more closely with the desired mode, yielding a higher conversion efficiency."
90032,Incremental Tuning,inc_spread_factor_20260422,0.6160,-0.0185,"Introduce a very small multiplicative penalty for events where the three dijet‑mass ratio observables are inconsistent. The champion already rewards ratios near the expected value (0.46) with a Gaussian; a modest linear down‑weight on the spread of those ratios provides an extra, physics‑motivated refinement while leaving the core scoring untouched.","In genuine t→Wb→jjb decays the three dijet mass ratios (m_{ij}/M_W) should be virtually identical, because each dijet pair stems from the same W boson. Background processes or mis‑pairings typically produce a larger spread among these ratios. By adding a small, linear penalty proportional to the spread, we subtly favor correctly reconstructed top candidates while preserving the existing Gaussian priors and kinematic scalings. The correction is bounded (≤2 % for the extreme case) so it acts as a fine‑grained, physics‑driven refinement."
91041,Incremental Tuning,opt_step_20260422_001,0.6160,-0.0185,"A modest, data‑driven tweak is likely to push the current champion's efficiency higher without risking destabilization of the model.","In thermodynamic analogues, a slight increase in temperature differential yields diminishing returns that follow a tanh curve; applying a similar non‑linear correction to the score captures this physics insight and nudges efficiency upward."
90033,Incremental Tuning,inc_corr_20230422_01,0.0000,-0.6345,"The current champion already captures the dominant physics priors (mass, width, PT scaling, ratio proximity and central η boost). A modest multiplicative correction can exploit two subtle but robust features: (1) the internal consistency of the three invariant‑mass ratios – signal events tend to have all three ratios clustered around the same value – and (2) a finer‑tuned reward for very central production. Adding these tiny boosts (≈2‑3 %) is an incremental step that should improve signal efficiency without over‑fitting.","Signal triplets from a genuine heavy resonance produce three boson candidates with very similar mass‑ratio values; a low variance among ratio_ab, ratio_ac, and ratio_bc therefore signals a coherent decay topology. Moreover, centrally produced objects (|η|≈0) have the best detector resolution and lowest background contamination. By rewarding ratio consistency and enhancing central pseudorapidity with a very small multiplicative factor, we capture these physics insights while preserving the champion’s overall structure."
91042,Incremental Tuning,inc_tune_20260422_01,0.6160,-0.0185,"The current champion efficiency (0.6345) suggests modest performance; a small, smooth adjustment to the scaling factor can yield incremental gains without destabilizing the model.","In perturbative physics, near-equilibrium systems respond linearly to small parameter tweaks; using tanh(log(...)) supplies a bounded, physically motivated correction that respects diminishing returns."
90034,Incremental Tuning,v30007_ratio_consistency,0.0000,-0.6345,"Introduce a tiny multiplicative correction that gently penalizes events whose three dijet mass ratios diverge from each other. This keeps the existing champion’s structure intact while adding a physics‑motivated consistency check that is only a few percent effect, ideal for a small incremental refinement.","In a genuine three‑body resonance decay (e.g. a heavy particle → W+W−/Z pairs), the three pairwise dijet invariant masses are kinematically linked and tend to produce similar ratios. Background configurations often yield asymmetric ratios. By adding a modest spread‑factor that slightly down‑weights large dispersion among the ratios, we exploit this subtle signal characteristic while preserving the champion’s proven components. The correction is deliberately small (max ~4 % penalty) to avoid over‑constraining the phase space, making it a safe incremental tuning step."
91043,Incremental Tuning,a3f1c9d2-5e67-4b8f-9201-d5c3c4e4f7b2,0.6160,-0.0185,"A modest scaling correction is applied to the current model to test the sensitivity of the champion's efficiency to small parameter adjustments, consistent with an incremental tuning strategy that preserves overall system stability.","In many physical simulations, slight uniform scaling of interaction strengths (e.g., coupling constants) can improve energy balance and reduce dissipation, potentially raising efficiency from the current 0.6345 figure."
90035,Cross-Component Attention Shift,attention_shift_v1,0.0000,-0.6345,"A cross‑component attention mechanism replaces the fixed product of priors with a dynamic, event‑by‑event weighting of physics‑motivated features. This allows the algorithm to emphasize the most discriminating observable (mass, pt, ratio, eta, or pt‑asymmetry) for each triplet, capturing non‑linear interplays that the static multiplicative form cannot.","Signal triplets from a heavy resonance decay are expected to be centrally produced (small |η|), have a total invariant mass around the resonance pole (≈162 GeV), contain a sub‑pair mass close to the W boson (≈80.4 GeV), and exhibit balanced transverse momentum among the three decay products. Background events often display asymmetric pt sharing and larger rapidities. By introducing a pt‑asymmetry term and allowing an attention mechanism to up‑weight the most signal‑like feature on an event‑by‑event basis, the model can better discriminate subtle kinematic patterns that a fixed multiplicative formula cannot capture."
91044,Incremental Tuning,inc_tune_20260422_001,0.6170,-0.0175,The champion’s efficiency is modest; a slight increase in the loss weighting for momentum conservation via a small scaling factor can nudge performance upward while preserving training stability.,"Physics insight: strengthening the momentum-conservation term encourages trajectories that better obey Newton's second law, typically enhancing overall model efficiency."
91045,Within-Component Innovation,opt_innov_20260422_01,0.0000,-0.6345,"Introduce a modest exponential scaling to the internal interaction term, a within‑component adjustment expected to capture higher‑order correlations and raise the efficiency above the current 0.6345.","In many‑body physics, small exponential enhancements mimic stronger effective coupling, reflecting increased correlation strength without architectural changes, thereby offering a physics‑driven pathway to improve performance."
90036,Incremental Tuning,v30007_refine_second_w,0.6160,-0.0185,The current champion uses only the best dijet mass as the W candidate. Adding a modest correction based on the second‑best dijet mass captures the distinctive topology of genuine top decays—only one jet pair should sit near the W mass. This small multiplicative factor can improve signal‑to‑background discrimination without overhauling the existing scoring framework.,"In a true top‑quark decay the two jets from the W boson form a single invariant‑mass peak around 80 GeV, while the remaining b‑jet combined with either W‑jet yields a much larger mass. Background events often produce multiple dijet combinations near the W mass. By modestly down‑weighting events where the second‑best dijet mass is also close to 80 GeV, we exploit this physical signature and achieve finer separation of signal from background with only a ~3 % correction."
91046,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,"A small, continuous adjustment is appropriate because the current efficiency is moderate; further gains can be achieved by fine‑tuning learning rates without radical changes.","In thermodynamic analogies, incremental changes to control parameters reduce entropy production, leading to smoother convergence toward higher efficiency."
91047,Cross-Component Attention Shift,cross_shift_2026_04_22_001,0.0000,-0.6345,"Redirecting the model's focus toward underutilized components can expose latent cross-component interactions, analogous to coupling effects in condensed matter systems that enhance overall efficiency.","In physics, emergent behavior often arises from the interplay between distinct subsystems; by shifting attention across components we aim to harness similar synergistic effects to improve the champion's efficiency."
90037,Incremental Tuning,fine_W_mass_boost_v001,0.0000,-0.6345,"The champion already includes a strong physics‑driven base score. A safe next step is to add a tiny, physically motivated multiplicative correction that gently rewards events where the reconstructed W‑boson mass is especially close to the true value. This is a classic incremental‑tuning move: it tweaks the final score by a few percent at most, preserving the overall structure while nudging the efficiency upward.","Signal events containing a real W→jj decay should exhibit a dijet invariant mass tightly clustered around 80.4 GeV. By applying a modest weighting that rises as the dijet mass approaches this value, we capture a subtle but genuine correlation between accurate W reconstruction and true signal, improving selection efficiency without over‑penalising background."
91048,Incremental Tuning,incremental_20260422_01,0.6072,-0.0273,"The current champion shows decent efficiency (0.6345), suggesting the model is stable but still has headroom. A small, smooth adjustment to the performance metric can push the efficiency higher without risking large perturbations.",Physics systems often exhibit saturation behavior describable by a hyperbolic tangent. Applying tanh to the base_score yields a bounded correction factor that gently nudges the model toward higher efficiency while preserving stability.
91049,Incremental Tuning,inc_opt_001,0.6160,-0.0185,The current champion efficiency (0.6345) suggests room for modest improvements; incremental tuning can adjust hyperparameters delicately to capture marginal gains without overhauling the model.,"Applying a small exponential decay correction reflects the diminishing returns typical when fine‑tuning near‑optimal physical simulations, guiding subtle parameter refinements."
90038,Incremental Tuning,cumulative_v30007,0.6170,-0.0175,"Add a very small pseudorapidity‑based boost that preferentially rewards events reconstructed near the detector’s central region, where resolution and efficiency are highest. This is a modest multiplicative correction that nudges the score without disrupting the existing physics‑driven weighting.","The central pseudorapidity region (|η|≈0) yields the best detector performance – superior momentum resolution, lower background contamination, and higher reconstruction efficiency. By applying a gentle Gaussian‑shaped multiplicative factor centered at |η|≈0.2, we give a modest reward to these high‑quality events, improving overall selection efficiency while leaving the core physics‑based scoring untouched."
91050,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,"A modest exponential adjustment to the model's hyperparameters is likely to yield incremental gains, given the current efficiency plateau.","Physical relaxation processes often follow exponential decay; applying a small exponential correction mimics this natural tendency toward equilibrium, potentially improving the system's efficiency without destabilizing its learned representations."
90039,Incremental Tuning,cumulative_v30007,0.0000,-0.6345,"We keep the proven structure of the champion score but add a tiny multiplicative correction that addresses a subtle source of inefficiency: the variation among the three pairwise invariant masses. Penalising events with a large spread is a small, physics‑motivated tweak that modestly improves background rejection without disrupting the overall behaviour of the scoring function.","In a genuine three‑body resonant decay the three pairwise invariant masses should be mutually consistent (all hovering around the W‑boson mass). Background processes frequently produce a wide disparity among these masses. By introducing a modest exponential penalty proportional to the normalised mass spread, we slightly down‑weight such background‑like configurations while keeping the signal efficiency essentially unchanged. This tiny tweak is a classic incremental tuning that can push the overall efficiency a few percent higher."
91051,Incremental Tuning,inc_tune_20260422_001,0.0088,-0.6257,"The current champion already captures the bulk of the target physics, but residual errors suggest that a modest fine‑tuning of the scaling factor can improve alignment with underlying theoretical constraints.","A slight increase in the correction term, guided by the hyperbolic tangent of the logarithm of the base score, softly adjusts the model toward smoother energy gradients dictated by field‑theoretic conservation laws, enabling it to capture subtle coupling effects without destabilizing the existing solution."
90040,Incremental Tuning,cumulative_v30007_dR_tune,0.0000,-0.6345,Add a small multiplicative correction based on the smallest jet‑pair ΔR. Signal‑like three‑jet resonances exhibit a characteristic angular separation; rewarding events where the minimal ΔR is close to the expected value gives a modest boost (≈2 %) to signal‑rich configurations while leaving the established champion logic largely untouched.,"In a genuine three‑jet resonance the decay kinematics fix a relatively narrow range of jet‑pair angular separations. By gently rewarding events where the smallest ΔR among the jet pairs is close to the expected value (~0.9), we extract a few‑percent gain in discriminating power without destabilising the proven champion scoring structure."
91052,Incremental Tuning,inc_tune_20260422_001,0.6150,-0.0195,"Incremental tuning makes a small, mathematically smooth adjustment to the scaling factor based on the current performance, enabling fine-grained improvements without destabilizing the existing architecture.","Analogous to physical damping, the exponential decay reduces excess influence while the bounded tanh term ensures adjustments remain within realistic limits, reflecting energy loss and saturation effects in physical systems."
90041,Incremental Tuning,v30007_mass_balance_refinement,0.0000,-0.6345,"We are applying a fine‑grained multiplicative correction that gently rewards triplets with balanced pairwise invariant masses, a hallmark of genuine three‑body resonances, while preserving the overall structure of the champion logic.","In a true three‑body resonance the invariant masses of the three particle pairs tend to be comparable, leading to a relatively small spread among m_{ij}. Introducing a gentle factor that rises when the spread is below ~15 GeV (and falls when it is larger) exploits this physical characteristic without drastically reshaping the score landscape, offering a modest boost to signal‑like configurations."
91053,Incremental Tuning,incremental_tuning_20260422_01,0.6160,-0.0185,"The current champion's efficiency is moderate; a small multiplicative adjustment can improve performance with minimal risk, leveraging the linear response regime.","A slight increase in the driving field amplitude reduces relative losses according to the linear approximation of the system's response, consistent with perturbation theory in quantum optics."
91054,Incremental Tuning,opt_inc_tuning_20260422,0.6160,-0.0185,"The current champion exhibits moderate efficiency; applying incremental tuning allows fine-grained adjustment of hyperparameters without drastic architectural changes, offering a high probability of marginal performance gains.","In physics, refining coupling constants or small perturbations often improves model fidelity; analogous incremental hyperparameter tweaks can better capture underlying physical relationships and boost the model's efficiency."
91055,Cross-Component Attention Shift,cross_shift_20260422_001,0.0088,-0.6257,"The current champion efficiency (0.6345) suggests a performance plateau. Shifting attention across components—especially from over‑tuned modules to under‑explored sub‑systems like boundary condition handling and coupling kernels—can reveal synergistic gains and break the bottleneck, yielding higher overall efficiency.","Physics insight: In multi‑physics simulations, the interplay between turbulent transport and heat exchange often dominates error propagation. Reallocating modeling fidelity to balance these interactions improves predictive accuracy and system‑wide performance."
90042,Incremental Tuning,v30007_ratio_consistency,0.6160,-0.0185,A tiny multiplicative boost that rewards events where the three dijet‐mass ratios are mutually consistent (low spread) adds a physics‑motivated refinement without over‑hauling the existing scoring structure. Consistent ratios imply a more reliable jet pairing and therefore a higher likelihood of a genuine signal.,"In three‑jet resonances the correct dijet pairing tends to produce similar mass ratios for the three possible pairings. A low RMS spread among the ratios signals a coherent topology, while a large spread often indicates combinatorial background. By applying a modest ~2% boost when the spread is ≤0.1, we enhance genuine signal events without significantly penalising background, yielding a smoother improvement over the champion logic."
91056,Incremental Tuning,incremental_20260422_01,0.6160,-0.0185,"Given the current champion's modest efficiency (0.6345), a small incremental adjustment is likely to yield improvements without destabilizing the overall model.","A perturbative tweak of the coupling parameters leverages known scaling behavior, allowing a marginal boost in efficiency while preserving the underlying physical consistency."
91057,Within-Component Innovation,opt_step_20260422_001,0.0000,-0.6345,Introduce a non-linear correction based on the logarithm of the base score to capture diminishing returns at higher efficiencies.,"Physical systems often exhibit logarithmic scaling; applying tanh smooths extreme values, aligning the model with observed saturation effects."
90043,Incremental Tuning,mass_balance_v30007,0.0000,-0.6345,A tiny physics‑driven multiplicative factor is added to the champion without disturbing its core structure. This keeps the proven components intact while nudging the score in favor of triplets that exhibit internal mass consistency – a classic hallmark of genuine resonant decays. The change is small enough to be considered a refinement rather than a wholesale redesign.,"In a genuine three‑jet resonance (e.g., a top‑quark decay), the three dijet invariant masses share a common origin and therefore tend to be clustered around a consistent value. Background combinatorial triplets usually exhibit a larger spread among these masses. By introducing a modest exponential factor that lightly boosts events with a small mass spread, we embed a physically motivated discriminator while keeping the overall impact minimal—a classic incremental tuning approach."
91058,Incremental Tuning,opt_increment_20260422_001,0.0088,-0.6257,Incremental tuning is chosen because the current champion efficiency (0.6345) indicates the system is near a good operating point; small adjustments can yield measurable gains without risking destabilization.,"A slight increase in the coupling strength between resonant components nudges the system closer to perfect frequency matching, thereby improving coherent energy transfer as described by coupled oscillator physics."
90044,Cross-Component Attention Shift,shift_attn_v1_20260422,0.0000,-0.6345,"The current champion treats mass, ratio and kinematic priors as independent, static factors. By representing the three‑jet system as a tiny graph (jets as nodes, dijet pairs as edges) and applying a physics‑motivated attention mechanism across the edges, the scoring can dynamically weight the most signal‑like pair based on both invariant‑mass proximity to the W boson and angular closeness (ΔR). This is a structural shift rather than a minor tweak, allowing the algorithm to capture correlations that static heuristics miss and to adapt event‑by‑event.","In top quark decays the two jets from the W boson have an invariant mass clustered around 80.4 GeV and are typically collimated (ΔR ≈ 1). By constructing a Gaussian kernel in both mass and angular space for each dijet pair we obtain an event‑specific attention weight that highlights the pair most consistent with a true W decay. Propagating these edge weights back to the constituent jets yields a dynamic correction that supersedes the static ratio_factor and η_factor of the current champion, while preserving the proven top‑mass and W‑mass priors. This leverages well‑understood physics of t→Wb→jjb and equips the algorithm with the flexibility to discover subtler three‑jet correlations."
91059,Incremental Tuning,opt_inc_20260422_001,0.0000,-0.6345,The current champion already demonstrates strong performance; a modest fine‑tuning of the scaling factor can capture residual gains without overhauling the architecture.,"Physical systems often respond logarithmically to incremental parameter adjustments; applying a tanh‑smoothed log correction subtly aligns the model's internal energy scaling, yielding a higher efficiency."
91060,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,"A modest, mathematically smooth increase in the tuning factor can boost efficiency while preserving system stability.","In physics, small perturbative adjustments (like higher-order corrections) often yield measurable improvements; applying a similar incremental tweak here should raise the champion's efficiency."
90045,Incremental Tuning,v30007_wmean_correction,0.5994,-0.0351,"We introduce a modest multiplicative factor that rewards events where the average of the three dijet invariant masses is close to the W mass. This preserves the existing architecture while providing a physics‑motivated fine‑tuning, fitting the Incremental Tuning class.","In a true WW→jjjj topology each dijet pair originates from a W boson, so the three invariant masses should all be near the W mass. By averaging the three masses we obtain a robust estimator of this clustering; a gentle Gaussian weighting nudges the score toward events that display the expected mass symmetry without overwhelming the existing discriminants."
91061,Cross-Component Attention Shift,c0f4e9b2-9c56-4a8b-8c7c-1f4a9eb5c9c4,0.6189,-0.0156,"A cross-component attention shift is needed to reallocate optimization focus toward underperforming subsystems, leveraging the existing champion's moderate efficiency and enabling holistic performance gains.","In physics, redistributing energy from high-entropy regions to lower-entropy components can drive the system toward a more optimal equilibrium; similarly, shifting attention across model components can lower overall loss and increase efficiency."
90046,Incremental Tuning,v30007_ratio_spread_correction,0.0000,-0.6345,"A small multiplicative correction that further rewards events where the three jet‑pair ratios are mutually consistent. This is a minimal tweak – we keep the existing priors and scaling, only adding a gentle penalty for large spread among ratio_ab, ratio_ac and ratio_bc. Because the champion already uses an averaged Gaussian “ratio_factor”, this additional spread factor refines the same physics insight without overhauling the scoring pipeline.","In a correctly reconstructed three‑jet system from a boosted top quark, the kinematic ratios of the three possible jet pairs should be comparable; a large disparity hints at a mis‑pairing or background contamination. By introducing a gentle Gaussian penalty based on the spread of the three ratios, we slightly sharpen the discriminator for true top‑like topologies while preserving the robustness of the existing priors."
91062,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,"A small perturbative adjustment to hyperparameters (e.g., learning rate, weight decay) can provide a modest efficiency boost without destabilizing the model, appropriate for the current champion's moderate performance.","Analogous to first‑order perturbation theory in physics, an exponential correction offers a controlled, incremental improvement to the system's overall efficiency."
91063,Incremental Tuning,inc_tune_20260422_01,0.6160,-0.0185,"The current champion already exhibits a high efficiency; a modest, systematic adjustment is more likely to produce stable gains than a radical redesign.","In physics, small variations in coupling constants can shift a system toward a lower-energy configuration; similarly, a slight exponential scaling of parameters can nudge the model toward optimal performance with minimal disruption."
90047,Incremental Tuning,symmetry_factor_v30007,0.6170,-0.0175,"Introduce a modest multiplicative term that rewards configurations where the three dijet invariant masses are mutually consistent. Signal triplets from resonant decays (e.g. top → Wb) tend to produce a relatively uniform spread of pairwise masses, whereas background often yields a large disparity. Adding a small symmetry factor preserves the existing scoring hierarchy while gently biasing toward the physics‐motivated mass symmetry.","In a true three‑jet resonance the three pairwise invariant masses are constrained by the underlying decay kinematics, leading to a relatively compact distribution. Background combinatorics typically produce one mass near the W/Z scale and the other two far away, inflating the spread. By mildly up‑weighting events with a low dijet‑mass spread (via the symmetry_factor), we enhance signal‑like topologies while minimally disturbing the overall ranking."
91064,Cross-Component Attention Shift,cross_comp_shift_20230422_001,0.6160,-0.0185,"The current champion model treats components largely in isolation. Introducing a cross-component attention shift enables the system to capture interdependencies between physical sub-modules, which is often critical for accurate modeling of coupled phenomena.","In many physical systems, such as fluid-structure interaction or electromagnetic-mechanical coupling, the behavior of one component influences another. By shifting attention across components, the model can incorporate these couplings, leading to richer representations and higher efficiency."
91065,Incremental Tuning,inc_tune_20260422_01,0.0000,-0.6345,"We aim to fine-tune the existing model's hyperparameters with a modest multiplicative correction, preserving the physics-informed representations while seeking a marginal efficiency boost.","A gentle exponential decay factor nudges the optimizer toward a lower-loss basin, mirroring how physical systems respond to small perturbations around equilibrium, thus enabling incremental performance gains."
90048,Within-Component Innovation,v30007_symmetry_deltaR,0.0000,-0.6345,"We enrich the existing scoring component with additional physics‑driven constraints while keeping the overall architecture unchanged. By adding a mass‑symmetry term, switching to a product of the three Gaussian ratio terms, and introducing a ΔR compactness factor, we tighten the selection on signal‑like kinematics without redesigning the whole model.","Signal decays of a heavy resonance into three objects typically exhibit (i) a balanced distribution of the three pairwise invariant masses, (ii) a characteristic ratio of the di‑mass to the triplet mass around 0.46, and (iii) a moderate spatial separation between the decay products. Background configurations often show asymmetric mass combinations or either very collimated or very wide separations. By explicitly rewarding mass symmetry, enforcing that *all* three ratios lie near the expected value, and selecting a target average ΔR, the scoring function aligns more closely with the underlying physics of the signal, thus improving discrimination efficiency."
91066,Within-Component Innovation,phys_opt_001,0.6160,-0.0185,The champion efficiency (0.6345) indicates substantial room for improvement. Introducing a physics‑informed correction within the core component can capture the remaining inefficiency and drive a higher overall score.,"A square‑root scaling of the unused efficiency (1 − η) mirrors diminishing returns in many physical systems, providing a gentle boost that respects stability while pushing the model toward higher efficiency."
90049,Incremental Tuning,v30007_mass_peak_boost,0.0000,-0.6345,"Add a tiny multiplicative factor that gently rewards events whose triplet invariant mass lies very close to the expected resonance (~162 GeV). This is a modest (≤3%) boost, preserving the overall shape of the champion score while sharpening sensitivity to the signal peak.","Signal triplets from the targeted resonance cluster around 162 GeV with a relatively narrow intrinsic width. While the existing top_prior already favours this region, a very small additional Gaussian boost (≤3%) accentuates precisely the core of the mass distribution, yielding a modest gain in signal‑to‑background discrimination without risking over‑emphasis on the mass alone."
91067,Incremental Tuning,opt_inc_20260422_001,0.6160,-0.0185,"A small, continuous adjustment to current hyperparameters can yield marginal efficiency gains without destabilizing the learned representations.","In physics, perturbative corrections (e.g., adding a modest interaction term) often improve model fidelity; analogously, a slight exponential scaling refines the system's efficiency."
90050,Incremental Tuning,v30007_sumBoost,0.0000,-0.6345,A small multiplicative correction is added to the champion score. This keeps the core structure unchanged (hence an incremental tweak) while introducing a physics‑motivated boost for events whose three dijet invariant masses collectively sum to the expected value (≈3 × 80.4 GeV). The correction is modest (≤7 % boost) and thus qualifies as a refinement rather than a radical redesign.,"In a true three‑boson topology each dijet mass peaks around the W‑boson mass (≈80.4 GeV). While the original logic rewards the closest dijet pair, it ignores the global consistency of all three pairs. By adding a gentle Gaussian boost based on the deviation of the total of the three dijet masses from 3 × 80.4 GeV, events that better satisfy the full decay hypothesis receive a modest score increase. This leverages the physics expectation of a correlated mass pattern without disrupting the established discriminants, offering a low‑risk refinement that can lift the overall selection efficiency."
91068,Incremental Tuning,incremental_tuning_20260422_001,0.6160,-0.0185,"Incremental tuning allows fine-grained adjustments to the existing model parameters, preserving stability while extracting residual performance gains.","In physical simulations, modest reductions in timestep or scaling of dissipative terms lead to exponential decay of numerical error, improving energy conservation and overall efficiency."
90051,Incremental Tuning,cumulative_v30007,0.0000,-0.6345,"Introducing a modest multiplicative correction that rewards events where all three dijet masses are collectively close to the W boson mass (≈80.4 GeV). This leverages the physical expectation that signal triplets should contain three well‑balanced W candidates, while background combinatorics typically produce a broader spread. The correction is small (∼±2 %) to avoid over‑fitting.","Signal triplets from a heavy resonance (e.g., a new boson) are expected to contain three W‑boson candidates with similar invariant masses. By mildly up‑weighting events where the average dijet mass sits near the W mass, we enhance true signal efficiency while keeping background suppression largely unchanged."
91069,Cross-Component Attention Shift,opt_step_20260422_001,0.0000,-0.6345,"Shifting attention across system components can reveal hidden interdependencies and enable the model to allocate capacity where marginal efficiency gains are greatest, addressing the current performance plateau.","Physical systems often exhibit emergent efficiency when coupled subsystems exchange energy or information; a cross-component attention shift mimics this coupling, potentially uncovering new pathways to boost overall efficiency."
91070,Cross-Component Attention Shift,cross_shift_2026_04_22_v1,0.6160,-0.0185,"Shifting attention across components can capture emergent interactions that were missed by incremental tuning, leveraging inter-component correlations to boost overall efficiency.","In physics, coupling terms often dominate system behavior; reallocating resources to strengthen cross-component coupling can unlock hidden performance gains."
90052,Incremental Tuning,top_symmetry_factor_v001,0.6179,-0.0166,"A modest, multiplicative correction that rewards triplets whose three dijet invariant masses are mutually consistent. By adding a small symmetry factor based on the spread of the dijet masses, we gently up‑weight events that better match the kinematic topology of a hadronic top decay without over‑hauling the existing scoring components.","In a genuine hadronic top‑quark decay the three jets originate from a W boson (two jets) and the accompanying b‑quark. The two dijet masses that reconstruct the W are both close to 80.4 GeV, while the third pairing typically yields a mass not far from the W mass either. When all three pairwise invariant masses are mutually consistent (i.e., the spread is small), the topology is more “top‑like”. The added symmetry factor modestly rewards this consistency, enhancing discrimination for true top events while leaving background‑like configurations largely unaffected."
91071,Cross-Component Attention Shift,cumu_shift_cross_20260422,0.6150,-0.0195,"The current efficiency (0.6345) suggests room for improvement through better coordination between components. A cross-component attention shift can reallocate focus toward underutilized pathways, fostering synergistic gains without major structural changes.","In many physical systems, aligning the phase relationship between interacting subsystems enhances energy transfer. By shifting attention across components, we effectively adjust the coupling phase, allowing constructive interference and reduced dissipative losses."
90053,Cross-Component Attention Shift,cross_attn_shift_20260422,0.0000,-0.6345,"The current scoring relies on fixed Gaussian priors and simple scaling, which cannot capture the complex multi‑dimensional correlations among the three‑body kinematics. By shifting to a graph attention model we let the algorithm learn joint representations of masses, angular ratios, transverse momentum and pseudorapidity, dynamically weighting each component based on the event topology. This cross‑component attention shift can improve discrimination for signal‑like triplets and adapt to detector effects beyond the static priors used by the champion.","Three‑body decays exhibit correlated kinematic patterns: invariant masses, angular ratios, transverse momenta and pseudorapidities are intertwined by the underlying dynamics and detector response. A graph‑based attention network can learn these correlations directly from data, adapting to non‑Gaussian features and background shapes. By shifting from handcrafted priors to a learned representation we expect higher discrimination power and robustness across phase space, especially in regions where the simple priors of the current champion become sub‑optimal."
91072,Cross-Component Attention Shift,cva_shift_001,0.6160,-0.0185,"The current champion efficiency (0.6345) indicates moderate performance with potential for improvement. A cross-component attention shift can reallocate computational focus toward under‑exploited physical sub‑models, enhancing inter‑module synergy and overall efficiency.","Shifting attention to coupling terms in the system's Lagrangian or Hamiltonian can reveal hidden symmetries and emergent dynamics, reducing redundant calculations and boosting predictive fidelity."
91073,Incremental Tuning,opt_inc_tune_20260422_001,0.6160,-0.0185,"The current champion’s efficiency is moderate (0.6345). Small, systematic adjustments to hyperparameters are likely to yield incremental gains without destabilizing the model, analogous to adiabatic changes in a physical system.","Physics insight: treating the training process as a trajectory in a potential landscape, a gentle, continuous shift (incremental tuning) is akin to a quasi‑static process that conserves system order while allowing the model to settle into a deeper energy minimum."
91074,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,"Incremental tuning allows modest parameter adjustments to improve efficiency without large architectural changes, suitable for the current champion's moderate efficiency.","Physics insight suggests small perturbations in potential or interaction terms can linearly enhance the system's performance, reflecting a gradient ascent approach."
90054,Incremental Tuning,spread_factor_tune_001,0.0000,-0.6345,"A modest, physics‑motivated multiplicative correction that rewards events where the three dijet invariant masses are mutually consistent. Real W→jj decays should produce similar dijet masses; a small spread in these masses is therefore a gentle signal indicator. Adding a ±2 % correction keeps the impact subtle while sharpening discrimination.","In a true top‑pair event, the two jets from the hadronic W decay share a common invariant mass (~80 GeV). When the three possible dijet pairings are examined, the correct pairing yields a mass close to the W mass, while the other combinations typically differ. Consequently, signal events tend to have a smaller spread among the three dijet masses. By gently rewarding a small spread (and penalising a large one) we enhance signal relevance without over‑constraining the classifier, preserving robustness to detector resolution effects."
91075,Incremental Tuning,inc_opt_2026_04_22_01,0.0088,-0.6257,"The current champion shows solid efficiency (0.6345) but still leaves room for marginal gains. A small, targeted adjustment of hyperparameters can refine the model's behavior without disrupting established dynamics, making incremental tuning the most reliable next step.","Physics insight: slight amplification of the correction factor leverages the logarithmic scaling of the existing score, subtly encouraging better conservation of energy and momentum while preserving numerical stability."
91076,Cross-Component Attention Shift,cs_shift_20260422_a1b2c3,0.0000,-0.6345,"A shift in attention across components can exploit interdependencies between the current cumulative integration and emerging quantum coherence effects, potentially unlocking higher efficiencies.","Physics insight: By redirecting model capacity toward cross-component interactions, we can capture emergent phenomena such as coupled thermal-electromagnetic dynamics, which are underrepresented in the current architecture."
90055,Incremental Tuning,refine_v30007,0.0000,-0.6345,"We apply a modest, multiplicative correction to the existing champion score. By introducing a fine_factor that gently penalizes events with large internal spread among the three dijet invariant masses and among the three mass‑ratio observables, we capture a subtle signal characteristic without reshaping the overall architecture. This is a classic incremental tuning: only a small, physics‑motivated factor is added to improve discrimination.","In a genuine three‑body decay of a heavy resonance (e.g., a Higgs or new particle) into three jets, the three dijet invariant masses tend to be comparable, and the derived mass‑ratio observables cluster around a common value. Background configurations often exhibit a wider spread in these sub‑structures. By mildly down‑weighting events with large internal spread—via Gaussian‑shaped factors centered on expected spreads—we exploit this subtle physical signature without over‑constraining the selection, yielding a finely tuned improvement."
